region,metric,n_S4,n_S5,t,p,d,mean_S4,mean_S5
EUROZONE,area_under_liquidity_pct,1000,1000,43.84782897459186,2.086964492430796e-240,1.9609345250594463,-84.19745523024051,-84.26798149234234
INDONESIA,area_under_liquidity_pct,1000,1000,51.73904056426501,5.043460187592649e-292,2.313840235846313,-84.19813018606673,-84.28156931733767
UNITED_STATES,area_under_liquidity_pct,1000,1000,40.90333683651208,5.884429241697548e-220,1.8292528334602443,-84.19754252064949,-84.26573127206574
