region,metric,n,t,p_t,d_paired,p_wilcoxon
EUROZONE,time_under_threshold,1000,908.346213498427,0.0,28.72442938644613,4.831842079578661e-166
INDONESIA,time_under_threshold,1000,769.8518225451312,0.0,24.344852200743798,6.125059533035239e-166
UNITED_STATES,time_under_threshold,1000,1017.0591673133129,0.0,32.162234838643435,6.213722992998121e-166
