region,coin,t,p,d,mean_S4,mean_S5,n_S4,n_S5
EUROZONE,USDC,28.685800801164664,1.492605959489114e-132,1.2828680116084423,-99.99999997938802,-99.99999998054525,1000,1000
INDONESIA,USDC,28.868071524934493,6.78551354810217e-134,1.291019406181591,-99.9999999793861,-99.99999998003598,1000,1000
UNITED_STATES,USDC,27.28620396575931,5.429093473916237e-123,1.2202761383072434,-99.99999997938865,-99.99999998061894,1000,1000
