region,coin,n,t,p_t,d_paired,p_wilcoxon
EUROZONE,USDC,780,-0.31030243026700394,0.7564139813922747,-0.011110609288239271,0.9686883325827624
INDONESIA,USDC,779,-0.8037773439867946,0.4217710890212464,-0.02879831194922919,0.5001842570707944
UNITED_STATES,USDC,794,-1.4948216758658428,0.13535879986903554,-0.05304923622711319,0.11412832776223863
